ID,values,section,Behavior
12,4.6,Anthropomorphism,implicit
13,4.4,Anthropomorphism,implicit
14,2.0,Anthropomorphism,implicit
15,2.2,Anthropomorphism,implicit
16,5.0,Anthropomorphism,implicit
17,3.0,Anthropomorphism,implicit
18,4.4,Anthropomorphism,implicit
19,3.0,Anthropomorphism,implicit
20,2.8,Anthropomorphism,implicit
21,3.4,Anthropomorphism,implicit
22,3.8,Anthropomorphism,implicit
23,4.6,Anthropomorphism,implicit
24,3.6,Anthropomorphism,implicit
25,2.2,Anthropomorphism,implicit
26,4.8,Anthropomorphism,implicit
27,1.8,Anthropomorphism,implicit
28,2.4,Anthropomorphism,implicit
29,2.4,Anthropomorphism,implicit
30,1.8,Anthropomorphism,implicit
31,3.6,Anthropomorphism,implicit
32,2.8,Anthropomorphism,implicit
33,3.8,Anthropomorphism,implicit
34,2.4,Anthropomorphism,implicit
35,3.8,Anthropomorphism,implicit
36,1.4,Anthropomorphism,implicit
37,4.6,Anthropomorphism,implicit
38,3.4,Anthropomorphism,implicit
39,4.0,Anthropomorphism,implicit
40,2.4,Anthropomorphism,implicit
41,3.4,Anthropomorphism,implicit
42,3.6,Anthropomorphism,implicit
43,3.4,Anthropomorphism,implicit
44,3.2,Anthropomorphism,implicit
45,2.6,Anthropomorphism,implicit
46,4.6,Anthropomorphism,implicit
47,3.6,Anthropomorphism,implicit
48,4.8,Anthropomorphism,implicit
49,2.8,Anthropomorphism,implicit
50,3.8,Anthropomorphism,implicit
51,2.6,Anthropomorphism,implicit
52,2.6,Anthropomorphism,implicit
53,3.6,Anthropomorphism,implicit
54,2.0,Anthropomorphism,implicit
55,3.4,Anthropomorphism,implicit
56,2.0,Anthropomorphism,implicit
57,3.6,Anthropomorphism,implicit
58,3.6,Anthropomorphism,implicit
59,1.6,Anthropomorphism,implicit
60,5.0,Anthropomorphism,implicit
61,3.0,Anthropomorphism,implicit
0,4.17,Animacy,explicit
1,4.33,Animacy,explicit
2,3.67,Animacy,explicit
3,2.67,Animacy,explicit
4,3.83,Animacy,explicit
5,3.67,Animacy,explicit
6,1.5,Animacy,explicit
7,3.33,Animacy,explicit
8,3.17,Animacy,explicit
9,2.83,Animacy,explicit
10,3.33,Animacy,explicit
11,2.83,Animacy,explicit
12,4.33,Animacy,explicit
13,4.0,Animacy,explicit
14,2.83,Animacy,explicit
15,2.83,Animacy,explicit
16,4.5,Animacy,explicit
17,3.33,Animacy,explicit
18,4.67,Animacy,explicit
19,4.83,Animacy,explicit
20,2.5,Animacy,explicit
21,3.67,Animacy,explicit
22,4.17,Animacy,explicit
23,4.67,Animacy,explicit
24,3.5,Animacy,explicit
25,1.83,Animacy,explicit
26,4.83,Animacy,explicit
27,2.33,Animacy,explicit
28,2.83,Animacy,explicit
29,2.83,Animacy,explicit
30,2.83,Animacy,explicit
31,3.5,Animacy,explicit
32,3.0,Animacy,explicit
33,4.17,Animacy,explicit
34,3.33,Animacy,explicit
35,3.67,Animacy,explicit
36,2.83,Animacy,explicit
37,4.83,Animacy,explicit
38,3.5,Animacy,explicit
39,4.67,Animacy,explicit
40,3.33,Animacy,explicit
41,4.17,Animacy,explicit
42,3.5,Animacy,explicit
43,4.17,Animacy,explicit
44,3.17,Animacy,explicit
45,3.83,Animacy,explicit
46,4.33,Animacy,explicit
47,3.67,Animacy,explicit
48,4.5,Animacy,explicit
49,2.67,Animacy,explicit
50,3.67,Animacy,explicit
51,3.33,Animacy,explicit
52,3.5,Animacy,explicit
53,4.33,Animacy,explicit
54,3.83,Animacy,explicit
55,2.5,Animacy,explicit
56,2.33,Animacy,explicit
57,4.33,Animacy,explicit
58,3.33,Animacy,explicit
59,2.17,Animacy,explicit
60,4.5,Animacy,explicit
61,4.5,Animacy,explicit
0,4.33,Animacy,implicit
1,4.17,Animacy,implicit
2,3.33,Animacy,implicit
3,3.0,Animacy,implicit
4,3.5,Animacy,implicit
5,3.33,Animacy,implicit
6,1.17,Animacy,implicit
7,3.5,Animacy,implicit
8,3.33,Animacy,implicit
9,3.17,Animacy,implicit
10,3.17,Animacy,implicit
11,3.0,Animacy,implicit
12,5.0,Animacy,implicit
13,4.33,Animacy,implicit
14,2.17,Animacy,implicit
15,3.33,Animacy,implicit
16,4.5,Animacy,implicit
17,2.5,Animacy,implicit
18,4.5,Animacy,implicit
19,3.33,Animacy,implicit
20,2.83,Animacy,implicit
21,4.0,Animacy,implicit
22,4.33,Animacy,implicit
23,4.33,Animacy,implicit
24,3.5,Animacy,implicit
25,1.67,Animacy,implicit
26,4.67,Animacy,implicit
27,2.33,Animacy,implicit
28,2.67,Animacy,implicit
29,2.83,Animacy,implicit
30,3.17,Animacy,implicit
31,3.0,Animacy,implicit
32,2.17,Animacy,implicit
33,4.5,Animacy,implicit
34,3.0,Animacy,implicit
35,3.33,Animacy,implicit
36,2.5,Animacy,implicit
37,4.83,Animacy,implicit
38,3.17,Animacy,implicit
39,4.83,Animacy,implicit
40,3.83,Animacy,implicit
41,3.5,Animacy,implicit
42,4.0,Animacy,implicit
43,3.83,Animacy,implicit
44,3.83,Animacy,implicit
45,3.5,Animacy,implicit
46,4.83,Animacy,implicit
47,4.0,Animacy,implicit
48,4.83,Animacy,implicit
49,2.67,Animacy,implicit
50,3.83,Animacy,implicit
51,2.67,Animacy,implicit
52,3.83,Animacy,implicit
53,3.33,Animacy,implicit
54,2.0,Animacy,implicit
55,3.17,Animacy,implicit
56,2.0,Animacy,implicit
57,3.83,Animacy,implicit
58,3.83,Animacy,implicit
59,1.83,Animacy,implicit
60,5.0,Animacy,implicit
61,3.67,Animacy,implicit
0,4.8,Likeability,explicit
1,4.8,Likeability,explicit
2,3.6,Likeability,explicit
3,4.8,Likeability,explicit
4,4.8,Likeability,explicit
5,5.0,Likeability,explicit
6,4.0,Likeability,explicit
7,3.6,Likeability,explicit
8,4.8,Likeability,explicit
9,3.4,Likeability,explicit
10,4.6,Likeability,explicit
11,4.4,Likeability,explicit
12,5.0,Likeability,explicit
13,5.0,Likeability,explicit
14,5.0,Likeability,explicit
15,5.0,Likeability,explicit
16,5.0,Likeability,explicit
17,3.8,Likeability,explicit
18,4.8,Likeability,explicit
19,5.0,Likeability,explicit
20,4.6,Likeability,explicit
21,4.2,Likeability,explicit
22,4.8,Likeability,explicit
23,5.0,Likeability,explicit
24,4.0,Likeability,explicit
25,4.2,Likeability,explicit
26,5.0,Likeability,explicit
27,3.6,Likeability,explicit
28,3.6,Likeability,explicit
29,3.6,Likeability,explicit
30,3.4,Likeability,explicit
31,5.0,Likeability,explicit
32,3.2,Likeability,explicit
33,4.8,Likeability,explicit
34,4.8,Likeability,explicit
35,4.4,Likeability,explicit
36,4.8,Likeability,explicit
37,5.0,Likeability,explicit
38,3.4,Likeability,explicit
39,5.0,Likeability,explicit
40,4.4,Likeability,explicit
41,5.0,Likeability,explicit
42,4.6,Likeability,explicit
43,4.6,Likeability,explicit
44,4.2,Likeability,explicit
45,5.0,Likeability,explicit
46,5.0,Likeability,explicit
47,4.8,Likeability,explicit
48,5.0,Likeability,explicit
49,4.2,Likeability,explicit
50,5.0,Likeability,explicit
51,4.4,Likeability,explicit
52,4.8,Likeability,explicit
53,5.0,Likeability,explicit
54,4.4,Likeability,explicit
55,5.0,Likeability,explicit
56,4.2,Likeability,explicit
57,5.0,Likeability,explicit
58,5.0,Likeability,explicit
59,4.0,Likeability,explicit
60,5.0,Likeability,explicit
61,4.8,Likeability,explicit
0,5.0,Likeability,implicit
1,4.8,Likeability,implicit
2,4.4,Likeability,implicit
3,4.8,Likeability,implicit
4,5.0,Likeability,implicit
5,5.0,Likeability,implicit
6,3.6,Likeability,implicit
7,4.6,Likeability,implicit
8,4.6,Likeability,implicit
9,3.8,Likeability,implicit
10,5.0,Likeability,implicit
11,4.8,Likeability,implicit
12,5.0,Likeability,implicit
13,4.6,Likeability,implicit
14,5.0,Likeability,implicit
15,5.0,Likeability,implicit
16,5.0,Likeability,implicit
17,4.2,Likeability,implicit
18,5.0,Likeability,implicit
19,4.8,Likeability,implicit
20,3.8,Likeability,implicit
21,4.4,Likeability,implicit
22,5.0,Likeability,implicit
23,5.0,Likeability,implicit
24,4.0,Likeability,implicit
25,4.2,Likeability,implicit
26,5.0,Likeability,implicit
27,4.4,Likeability,implicit
28,3.4,Likeability,implicit
29,3.6,Likeability,implicit
30,3.6,Likeability,implicit
31,5.0,Likeability,implicit
32,4.0,Likeability,implicit
33,5.0,Likeability,implicit
34,4.6,Likeability,implicit
35,4.0,Likeability,implicit
36,5.0,Likeability,implicit
37,5.0,Likeability,implicit
38,4.0,Likeability,implicit
39,5.0,Likeability,implicit
40,4.2,Likeability,implicit
41,5.0,Likeability,implicit
42,4.6,Likeability,implicit
43,4.8,Likeability,implicit
44,5.0,Likeability,implicit
45,4.8,Likeability,implicit
46,5.0,Likeability,implicit
47,4.8,Likeability,implicit
48,5.0,Likeability,implicit
49,3.8,Likeability,implicit
50,5.0,Likeability,implicit
51,3.8,Likeability,implicit
52,3.8,Likeability,implicit
53,5.0,Likeability,implicit
54,3.8,Likeability,implicit
55,4.8,Likeability,implicit
56,5.0,Likeability,implicit
57,5.0,Likeability,implicit
58,5.0,Likeability,implicit
59,3.2,Likeability,implicit
60,5.0,Likeability,implicit
61,5.0,Likeability,implicit
0,3.8,Intelligence,explicit
1,4.0,Intelligence,explicit
2,3.6,Intelligence,explicit
3,3.0,Intelligence,explicit
4,3.6,Intelligence,explicit
5,5.0,Intelligence,explicit
6,3.4,Intelligence,explicit
7,2.4,Intelligence,explicit
8,4.2,Intelligence,explicit
9,3.0,Intelligence,explicit
10,3.4,Intelligence,explicit
11,4.8,Intelligence,explicit
12,5.0,Intelligence,explicit
13,5.0,Intelligence,explicit
14,5.0,Intelligence,explicit
15,2.6,Intelligence,explicit
16,4.6,Intelligence,explicit
17,3.6,Intelligence,explicit
18,4.6,Intelligence,explicit
19,4.4,Intelligence,explicit
20,3.0,Intelligence,explicit
21,3.2,Intelligence,explicit
22,4.0,Intelligence,explicit
23,5.0,Intelligence,explicit
24,3.4,Intelligence,explicit
25,2.8,Intelligence,explicit
26,4.4,Intelligence,explicit
27,1.8,Intelligence,explicit
28,3.2,Intelligence,explicit
29,3.4,Intelligence,explicit
30,2.2,Intelligence,explicit
31,4.6,Intelligence,explicit
32,4.0,Intelligence,explicit
33,3.8,Intelligence,explicit
34,3.6,Intelligence,explicit
35,3.8,Intelligence,explicit
36,3.4,Intelligence,explicit
37,5.0,Intelligence,explicit
38,3.0,Intelligence,explicit
39,5.0,Intelligence,explicit
40,3.4,Intelligence,explicit
41,4.4,Intelligence,explicit
42,4.2,Intelligence,explicit
43,4.4,Intelligence,explicit
44,4.2,Intelligence,explicit
45,4.6,Intelligence,explicit
46,5.0,Intelligence,explicit
47,4.2,Intelligence,explicit
48,4.4,Intelligence,explicit
49,4.4,Intelligence,explicit
50,4.4,Intelligence,explicit
51,3.4,Intelligence,explicit
52,3.8,Intelligence,explicit
53,3.8,Intelligence,explicit
54,3.2,Intelligence,explicit
55,3.6,Intelligence,explicit
56,3.0,Intelligence,explicit
57,4.8,Intelligence,explicit
58,3.8,Intelligence,explicit
59,1.6,Intelligence,explicit
60,4.2,Intelligence,explicit
61,5.0,Intelligence,explicit
0,4.4,Intelligence,implicit
1,3.8,Intelligence,implicit
2,4.2,Intelligence,implicit
3,4.0,Intelligence,implicit
4,3.8,Intelligence,implicit
5,3.8,Intelligence,implicit
6,3.2,Intelligence,implicit
7,3.4,Intelligence,implicit
8,4.4,Intelligence,implicit
9,3.2,Intelligence,implicit
10,4.0,Intelligence,implicit
11,4.6,Intelligence,implicit
12,5.0,Intelligence,implicit
13,5.0,Intelligence,implicit
14,4.2,Intelligence,implicit
15,3.6,Intelligence,implicit
16,5.0,Intelligence,implicit
17,3.4,Intelligence,implicit
18,4.8,Intelligence,implicit
19,3.6,Intelligence,implicit
20,3.8,Intelligence,implicit
21,3.2,Intelligence,implicit
22,5.0,Intelligence,implicit
23,4.4,Intelligence,implicit
24,3.8,Intelligence,implicit
25,2.6,Intelligence,implicit
26,4.6,Intelligence,implicit
27,2.6,Intelligence,implicit
28,3.0,Intelligence,implicit
29,3.2,Intelligence,implicit
30,2.2,Intelligence,implicit
31,4.0,Intelligence,implicit
32,4.4,Intelligence,implicit
33,4.6,Intelligence,implicit
34,3.0,Intelligence,implicit
35,3.4,Intelligence,implicit
36,3.0,Intelligence,implicit
37,5.0,Intelligence,implicit
38,3.6,Intelligence,implicit
39,4.8,Intelligence,implicit
40,3.6,Intelligence,implicit
41,4.4,Intelligence,implicit
42,4.2,Intelligence,implicit
43,3.4,Intelligence,implicit
44,4.4,Intelligence,implicit
45,4.0,Intelligence,implicit
46,4.6,Intelligence,implicit
47,4.0,Intelligence,implicit
48,5.0,Intelligence,implicit
49,4.2,Intelligence,implicit
50,4.2,Intelligence,implicit
51,3.4,Intelligence,implicit
52,3.4,Intelligence,implicit
53,3.4,Intelligence,implicit
54,2.6,Intelligence,implicit
55,3.6,Intelligence,implicit
56,1.8,Intelligence,implicit
57,4.6,Intelligence,implicit
58,4.2,Intelligence,implicit
59,2.6,Intelligence,implicit
60,4.4,Intelligence,implicit
61,4.6,Intelligence,implicit
0,5.0,Safety,explicit
1,5.0,Safety,explicit
2,4.0,Safety,explicit
3,4.67,Safety,explicit
4,4.33,Safety,explicit
5,5.0,Safety,explicit
6,3.0,Safety,explicit
7,4.67,Safety,explicit
8,4.0,Safety,explicit
9,4.33,Safety,explicit
10,4.67,Safety,explicit
11,5.0,Safety,explicit
12,4.33,Safety,explicit
13,5.0,Safety,explicit
14,5.0,Safety,explicit
15,4.33,Safety,explicit
16,5.0,Safety,explicit
17,4.67,Safety,explicit
18,4.67,Safety,explicit
19,5.0,Safety,explicit
20,4.33,Safety,explicit
21,3.67,Safety,explicit
22,4.67,Safety,explicit
23,5.0,Safety,explicit
24,3.0,Safety,explicit
25,4.0,Safety,explicit
26,4.67,Safety,explicit
27,5.0,Safety,explicit
28,4.33,Safety,explicit
29,3.0,Safety,explicit
30,2.67,Safety,explicit
31,5.0,Safety,explicit
32,3.33,Safety,explicit
33,3.33,Safety,explicit
34,3.67,Safety,explicit
35,4.33,Safety,explicit
36,3.67,Safety,explicit
37,4.67,Safety,explicit
38,3.67,Safety,explicit
39,5.0,Safety,explicit
40,3.67,Safety,explicit
41,5.0,Safety,explicit
42,4.33,Safety,explicit
43,5.0,Safety,explicit
44,3.67,Safety,explicit
45,5.0,Safety,explicit
46,4.33,Safety,explicit
47,5.0,Safety,explicit
48,5.0,Safety,explicit
49,4.33,Safety,explicit
50,4.0,Safety,explicit
51,4.0,Safety,explicit
52,4.67,Safety,explicit
53,5.0,Safety,explicit
54,4.33,Safety,explicit
55,4.67,Safety,explicit
56,4.33,Safety,explicit
57,4.67,Safety,explicit
58,4.67,Safety,explicit
59,3.0,Safety,explicit
60,4.33,Safety,explicit
61,4.33,Safety,explicit
0,5.0,Safety,implicit
1,4.67,Safety,implicit
2,4.33,Safety,implicit
3,4.33,Safety,implicit
4,4.33,Safety,implicit
5,5.0,Safety,implicit
6,3.33,Safety,implicit
7,4.33,Safety,implicit
8,4.0,Safety,implicit
9,4.33,Safety,implicit
10,4.67,Safety,implicit
11,4.0,Safety,implicit
12,5.0,Safety,implicit
13,5.0,Safety,implicit
14,5.0,Safety,implicit
15,4.33,Safety,implicit
16,5.0,Safety,implicit
17,4.33,Safety,implicit
18,5.0,Safety,implicit
19,4.33,Safety,implicit
20,2.0,Safety,implicit
21,3.67,Safety,implicit
22,4.33,Safety,implicit
23,5.0,Safety,implicit
24,3.33,Safety,implicit
25,4.0,Safety,implicit
26,4.67,Safety,implicit
27,4.0,Safety,implicit
28,4.33,Safety,implicit
29,3.0,Safety,implicit
30,2.67,Safety,implicit
31,4.67,Safety,implicit
32,3.67,Safety,implicit
33,3.67,Safety,implicit
34,4.0,Safety,implicit
35,4.67,Safety,implicit
36,3.67,Safety,implicit
37,4.67,Safety,implicit
38,3.67,Safety,implicit
39,5.0,Safety,implicit
40,4.0,Safety,implicit
41,4.67,Safety,implicit
42,5.0,Safety,implicit
43,4.67,Safety,implicit
44,4.33,Safety,implicit
45,4.67,Safety,implicit
46,4.67,Safety,implicit
47,5.0,Safety,implicit
48,5.0,Safety,implicit
49,3.33,Safety,implicit
50,4.67,Safety,implicit
51,3.67,Safety,implicit
52,4.33,Safety,implicit
53,4.0,Safety,implicit
54,3.33,Safety,implicit
55,4.67,Safety,implicit
56,5.0,Safety,implicit
57,4.67,Safety,implicit
58,4.67,Safety,implicit
59,2.0,Safety,implicit
60,4.67,Safety,implicit
61,4.33,Safety,implicit
0,4.21,OVERALL,explicit
1,4.32,OVERALL,explicit
2,3.63,OVERALL,explicit
3,3.11,OVERALL,explicit
4,4.16,OVERALL,explicit
5,4.0,OVERALL,explicit
6,2.74,OVERALL,explicit
7,3.21,OVERALL,explicit
8,3.79,OVERALL,explicit
9,3.0,OVERALL,explicit
10,3.47,OVERALL,explicit
11,3.47,OVERALL,explicit
12,4.53,OVERALL,explicit
13,4.58,OVERALL,explicit
14,3.58,OVERALL,explicit
15,3.37,OVERALL,explicit
16,4.37,OVERALL,explicit
17,3.53,OVERALL,explicit
18,4.58,OVERALL,explicit
19,4.79,OVERALL,explicit
20,3.16,OVERALL,explicit
21,3.68,OVERALL,explicit
22,4.11,OVERALL,explicit
23,4.79,OVERALL,explicit
24,3.68,OVERALL,explicit
25,2.63,OVERALL,explicit
26,4.63,OVERALL,explicit
27,2.42,OVERALL,explicit
28,3.0,OVERALL,explicit
29,3.05,OVERALL,explicit
30,2.58,OVERALL,explicit
31,4.21,OVERALL,explicit
32,3.05,OVERALL,explicit
33,4.32,OVERALL,explicit
34,3.58,OVERALL,explicit
35,4.0,OVERALL,explicit
36,3.32,OVERALL,explicit
37,4.84,OVERALL,explicit
38,3.42,OVERALL,explicit
39,4.84,OVERALL,explicit
40,3.47,OVERALL,explicit
41,4.32,OVERALL,explicit
42,3.95,OVERALL,explicit
43,4.26,OVERALL,explicit
44,3.53,OVERALL,explicit
45,4.0,OVERALL,explicit
46,4.68,OVERALL,explicit
47,4.05,OVERALL,explicit
48,4.47,OVERALL,explicit
49,3.26,OVERALL,explicit
50,4.26,OVERALL,explicit
51,3.58,OVERALL,explicit
52,3.95,OVERALL,explicit
53,4.42,OVERALL,explicit
54,3.89,OVERALL,explicit
55,3.53,OVERALL,explicit
56,2.74,OVERALL,explicit
57,4.58,OVERALL,explicit
58,3.84,OVERALL,explicit
59,2.53,OVERALL,explicit
60,4.63,OVERALL,explicit
61,4.47,OVERALL,explicit
0,4.37,OVERALL,implicit
1,4.32,OVERALL,implicit
2,3.89,OVERALL,implicit
3,3.53,OVERALL,implicit
4,4.11,OVERALL,implicit
5,3.79,OVERALL,implicit
6,2.37,OVERALL,implicit
7,3.63,OVERALL,implicit
8,3.79,OVERALL,implicit
9,3.16,OVERALL,implicit
10,3.68,OVERALL,implicit
11,3.74,OVERALL,implicit
12,4.89,OVERALL,implicit
13,4.53,OVERALL,implicit
14,3.21,OVERALL,implicit
15,3.53,OVERALL,implicit
16,4.84,OVERALL,implicit
17,3.26,OVERALL,implicit
18,4.68,OVERALL,implicit
19,3.74,OVERALL,implicit
20,3.21,OVERALL,implicit
21,3.84,OVERALL,implicit
22,4.47,OVERALL,implicit
23,4.58,OVERALL,implicit
24,3.68,OVERALL,implicit
25,2.63,OVERALL,implicit
26,4.79,OVERALL,implicit
27,2.84,OVERALL,implicit
28,2.84,OVERALL,implicit
29,3.0,OVERALL,implicit
30,2.74,OVERALL,implicit
31,3.89,OVERALL,implicit
32,3.21,OVERALL,implicit
33,4.53,OVERALL,implicit
34,3.26,OVERALL,implicit
35,3.68,OVERALL,implicit
36,2.95,OVERALL,implicit
37,4.84,OVERALL,implicit
38,3.53,OVERALL,implicit
39,4.68,OVERALL,implicit
40,3.53,OVERALL,implicit
41,4.0,OVERALL,implicit
42,4.16,OVERALL,implicit
43,3.95,OVERALL,implicit
44,4.05,OVERALL,implicit
45,3.63,OVERALL,implicit
46,4.74,OVERALL,implicit
47,4.11,OVERALL,implicit
48,4.89,OVERALL,implicit
49,3.26,OVERALL,implicit
50,4.21,OVERALL,implicit
51,3.11,OVERALL,implicit
52,3.47,OVERALL,implicit
53,3.84,OVERALL,implicit
54,2.68,OVERALL,implicit
55,3.74,OVERALL,implicit
56,2.84,OVERALL,implicit
57,4.16,OVERALL,implicit
58,4.16,OVERALL,implicit
59,2.32,OVERALL,implicit
60,4.95,OVERALL,implicit
61,4.05,OVERALL,implicit
0,4.0,SYSUSE,explicit
1,4.0,SYSUSE,explicit
2,3.5,SYSUSE,explicit
3,2.0,SYSUSE,explicit
4,4.0,SYSUSE,explicit
5,3.12,SYSUSE,explicit
6,1.88,SYSUSE,explicit
7,3.0,SYSUSE,explicit
8,3.12,SYSUSE,explicit
9,2.75,SYSUSE,explicit
10,2.88,SYSUSE,explicit
11,2.62,SYSUSE,explicit
12,4.12,SYSUSE,explicit
13,4.25,SYSUSE,explicit
14,2.12,SYSUSE,explicit
15,2.38,SYSUSE,explicit
16,3.75,SYSUSE,explicit
17,3.38,SYSUSE,explicit
18,4.38,SYSUSE,explicit
19,4.5,SYSUSE,explicit
20,2.25,SYSUSE,explicit
21,3.5,SYSUSE,explicit
22,3.75,SYSUSE,explicit
23,4.5,SYSUSE,explicit
24,3.62,SYSUSE,explicit
25,1.75,SYSUSE,explicit
26,4.38,SYSUSE,explicit
27,2.12,SYSUSE,explicit
28,2.62,SYSUSE,explicit
29,2.75,SYSUSE,explicit
30,2.25,SYSUSE,explicit
31,3.25,SYSUSE,explicit
32,2.75,SYSUSE,explicit
33,4.12,SYSUSE,explicit
34,3.0,SYSUSE,explicit
35,3.75,SYSUSE,explicit
36,2.5,SYSUSE,explicit
37,4.62,SYSUSE,explicit
38,3.5,SYSUSE,explicit
39,4.75,SYSUSE,explicit
40,3.0,SYSUSE,explicit
41,3.75,SYSUSE,explicit
42,3.5,SYSUSE,explicit
43,4.25,SYSUSE,explicit
44,3.0,SYSUSE,explicit
45,3.12,SYSUSE,explicit
46,4.5,SYSUSE,explicit
47,3.62,SYSUSE,explicit
48,4.0,SYSUSE,explicit
49,2.5,SYSUSE,explicit
50,4.0,SYSUSE,explicit
51,3.0,SYSUSE,explicit
52,3.62,SYSUSE,explicit
53,4.12,SYSUSE,explicit
54,3.5,SYSUSE,explicit
55,3.12,SYSUSE,explicit
56,1.62,SYSUSE,explicit
57,4.12,SYSUSE,explicit
58,3.38,SYSUSE,explicit
59,2.12,SYSUSE,explicit
60,4.5,SYSUSE,explicit
61,4.0,SYSUSE,explicit
0,4.12,SYSUSE,implicit
1,4.12,SYSUSE,implicit
2,3.5,SYSUSE,implicit
3,2.38,SYSUSE,implicit
4,3.75,SYSUSE,implicit
5,3.12,SYSUSE,implicit
6,1.62,SYSUSE,implicit
7,2.88,SYSUSE,implicit
8,3.12,SYSUSE,implicit
9,2.62,SYSUSE,implicit
10,2.88,SYSUSE,implicit
11,3.25,SYSUSE,implicit
12,4.75,SYSUSE,implicit
13,4.12,SYSUSE,implicit
14,1.88,SYSUSE,implicit
15,2.25,SYSUSE,implicit
16,4.75,SYSUSE,implicit
17,2.88,SYSUSE,implicit
18,4.38,SYSUSE,implicit
19,3.12,SYSUSE,implicit
20,2.75,SYSUSE,implicit
21,3.62,SYSUSE,implicit
22,3.88,SYSUSE,implicit
23,4.38,SYSUSE,implicit
24,3.5,SYSUSE,implicit
25,2.0,SYSUSE,implicit
26,4.62,SYSUSE,implicit
27,2.12,SYSUSE,implicit
28,2.5,SYSUSE,implicit
29,2.75,SYSUSE,implicit
30,2.38,SYSUSE,implicit
31,3.25,SYSUSE,implicit
32,2.38,SYSUSE,implicit
33,3.88,SYSUSE,implicit
34,2.38,SYSUSE,implicit
35,3.5,SYSUSE,implicit
36,1.75,SYSUSE,implicit
37,4.62,SYSUSE,implicit
38,3.38,SYSUSE,implicit
39,4.25,SYSUSE,implicit
40,2.75,SYSUSE,implicit
41,3.38,SYSUSE,implicit
42,3.75,SYSUSE,implicit
43,3.5,SYSUSE,implicit
44,3.38,SYSUSE,implicit
45,2.88,SYSUSE,implicit
46,4.62,SYSUSE,implicit
47,3.62,SYSUSE,implicit
48,4.75,SYSUSE,implicit
49,2.75,SYSUSE,implicit
50,3.88,SYSUSE,implicit
51,2.62,SYSUSE,implicit
52,3.0,SYSUSE,implicit
53,3.38,SYSUSE,implicit
54,2.0,SYSUSE,implicit
55,3.25,SYSUSE,implicit
56,2.0,SYSUSE,implicit
57,3.75,SYSUSE,implicit
58,3.5,SYSUSE,implicit
59,1.75,SYSUSE,implicit
60,5.0,SYSUSE,implicit
61,3.25,SYSUSE,implicit
0,4.57,INFOQUAL,explicit
1,4.86,INFOQUAL,explicit
2,3.71,INFOQUAL,explicit
3,4.14,INFOQUAL,explicit
