ID,E_ANTHROPOMORPHISM,I_ANTHROPOMORPHISM,E_ANIMACY,I_ANIMACY,E_LIKEABILITY,I_LIKEABILITY,E_INTELLIGENCE,I_INTELLIGENCE,E_SAFETY,I_SAFETY,E_OVERALL,I_OVERALL,E_SYSUSE,I_SYSUSE,E_INFOQUAL,I_INFOQUAL,E_INTERQUAL,I_INTERQUAL
23,4.6,4.6,4.67,4.33,5.0,5.0,5.0,4.4,5.0,5.0,4.79,4.58,4.5,4.38,5.0,4.86,5.0,5.0
24,3.8,3.6,3.5,3.5,4.0,4.0,3.4,3.8,3.0,3.33,3.68,3.68,3.62,3.5,3.86,3.86,3.67,3.67
25,1.8,2.2,1.83,1.67,4.2,4.2,2.8,2.6,4.0,4.0,2.63,2.63,1.75,2.0,3.43,3.29,3.0,2.67
26,4.2,4.8,4.83,4.67,5.0,5.0,4.4,4.6,4.67,4.67,4.63,4.79,4.38,4.62,5.0,5.0,4.67,5.0
27,1.8,1.8,2.33,2.33,3.6,4.4,1.8,2.6,5.0,4.0,2.42,2.84,2.12,2.12,3.0,3.43,2.0,3.33
28,2.6,2.4,2.83,2.67,3.6,3.4,3.2,3.0,4.33,4.33,3.0,2.84,2.62,2.5,3.43,3.14,3.0,3.0
29,2.6,2.4,2.83,2.83,3.6,3.6,3.4,3.2,3.0,3.0,3.05,3.0,2.75,2.75,3.43,3.29,3.0,3.0
30,1.8,1.8,2.83,3.17,3.4,3.6,2.2,2.2,2.67,2.67,2.58,2.74,2.25,2.38,3.14,3.43,2.33,2.33
31,3.8,3.6,3.5,3.0,5.0,5.0,4.6,4.0,5.0,4.67,4.21,3.89,3.25,3.25,4.86,4.29,5.0,4.67
32,2.4,2.8,3.0,2.17,3.2,4.0,4.0,4.4,3.33,3.67,3.05,3.21,2.75,2.38,2.86,3.43,4.33,4.33
33,4.2,3.8,4.17,4.5,4.8,5.0,3.8,4.6,3.33,3.67,4.32,4.53,4.12,3.88,4.57,5.0,4.33,5.0
34,2.8,2.4,3.33,3.0,4.8,4.6,3.6,3.0,3.67,4.0,3.58,3.26,3.0,2.38,4.29,4.43,3.0,2.67
35,4.0,3.8,3.67,3.33,4.4,4.0,3.8,3.4,4.33,4.67,4.0,3.68,3.75,3.5,4.29,3.86,4.0,4.0
36,2.4,1.4,2.83,2.5,4.8,5.0,3.4,3.0,3.67,3.67,3.32,2.95,2.5,1.75,4.0,4.0,4.0,3.67
37,4.6,4.6,4.83,4.83,5.0,5.0,5.0,5.0,4.67,4.67,4.84,4.84,4.62,4.62,5.0,5.0,5.0,5.0
38,3.6,3.4,3.5,3.17,3.4,4.0,3.0,3.6,3.67,3.67,3.42,3.53,3.5,3.38,3.57,3.57,3.0,4.0
39,4.8,4.0,4.67,4.83,5.0,5.0,5.0,4.8,5.0,5.0,4.84,4.68,4.75,4.25,4.86,5.0,5.0,5.0
40,2.8,2.4,3.33,3.83,4.4,4.2,3.4,3.6,3.67,4.0,3.47,3.53,3.0,2.75,4.0,4.29,3.67,4.0
41,3.8,3.4,4.17,3.5,5.0,5.0,4.4,4.4,5.0,4.67,4.32,4.0,3.75,3.38,4.86,4.43,4.67,4.67
42,3.6,3.6,3.5,4.0,4.6,4.6,4.2,4.2,4.33,5.0,3.95,4.16,3.5,3.75,4.43,4.43,4.33,4.67
43,4.2,3.4,4.17,3.83,4.6,4.8,4.4,3.4,5.0,4.67,4.26,3.95,4.25,3.5,4.43,4.57,4.0,3.67
44,2.8,3.2,3.17,3.83,4.2,5.0,4.2,4.4,3.67,4.33,3.53,4.05,3.0,3.38,3.57,4.57,4.67,4.67
45,2.8,2.6,3.83,3.5,5.0,4.8,4.6,4.0,5.0,4.67,4.0,3.63,3.12,2.88,4.57,4.43,5.0,4.0
46,4.6,4.6,4.33,4.83,5.0,5.0,5.0,4.6,4.33,4.67,4.68,4.74,4.5,4.62,4.71,5.0,5.0,4.67
47,3.6,3.6,3.67,4.0,4.8,4.8,4.2,4.0,5.0,5.0,4.05,4.11,3.62,3.62,4.43,4.71,4.33,4.0
48,4.0,4.8,4.5,4.83,5.0,5.0,4.4,5.0,5.0,5.0,4.47,4.89,4.0,4.75,5.0,5.0,4.67,5.0
49,2.2,2.8,2.67,2.67,4.2,3.8,4.4,4.2,4.33,3.33,3.26,3.26,2.5,2.75,3.43,3.29,4.67,4.67
50,4.0,3.8,3.67,3.83,5.0,5.0,4.4,4.2,4.0,4.67,4.26,4.21,4.0,3.88,4.29,4.43,5.0,4.67
51,3.0,2.6,3.33,2.67,4.4,3.8,3.4,3.4,4.0,3.67,3.58,3.11,3.0,2.62,4.14,3.29,4.0,4.0
52,3.8,2.6,3.5,3.83,4.8,3.8,3.8,3.4,4.67,4.33,3.95,3.47,3.62,3.0,4.43,3.86,4.0,4.0
53,4.2,3.6,4.33,3.33,5.0,5.0,3.8,3.4,5.0,4.0,4.42,3.84,4.12,3.38,4.86,4.43,4.33,4.0
54,3.6,2.0,3.83,2.0,4.4,3.8,3.2,2.6,4.33,3.33,3.89,2.68,3.5,2.0,4.29,2.86,4.0,4.33
55,3.4,3.4,2.5,3.17,5.0,4.8,3.6,3.6,4.67,4.67,3.53,3.74,3.12,3.25,3.86,4.29,3.67,4.0
56,1.4,2.0,2.33,2.0,4.2,5.0,3.0,1.8,4.33,5.0,2.74,2.84,1.62,2.0,3.43,3.71,3.33,3.67
57,4.2,3.6,4.33,3.83,5.0,5.0,4.8,4.6,4.67,4.67,4.58,4.16,4.12,3.75,4.86,4.43,5.0,4.67
58,3.4,3.6,3.33,3.83,5.0,5.0,3.8,4.2,4.67,4.67,3.84,4.16,3.38,3.5,4.29,4.71,4.33,4.67
59,2.0,1.6,2.17,1.83,4.0,3.2,1.6,2.6,3.0,2.0,2.53,2.32,2.12,1.75,3.14,2.43,2.0,3.33
60,4.6,5.0,4.5,5.0,5.0,5.0,4.2,4.4,4.33,4.67,4.63,4.95,4.5,5.0,4.86,5.0,4.67,5.0
61,3.8,3.0,4.5,3.67,4.8,5.0,5.0,4.6,4.33,4.33,4.47,4.05,4.0,3.25,4.86,4.43,4.67,5.0
